0 -0.673463 0.32923
1 -0.67012 0.331172
2 -0.646959 0.343233
3 -0.605058 0.363782
4 -0.552653 0.387505
5 -0.488965 0.413298
6 -0.409143 0.440779
7 -0.31723 0.46578
8 -0.211958 0.485815
9 -0.105598 0.495913
10 0.00876825 0.495721
11 0.125404 0.482489
12 0.239328 0.455335
13 0.350777 0.412922
14 0.449138 0.35733
15 0.538018 0.288358
16 0.615609 0.207083
17 0.673993 0.118894
18 0.717934 0.0238176
19 0.74606 -0.0744925
20 0.756548 -0.170143
21 0.753841 -0.263791
22 0.739277 -0.351738
23 0.714756 -0.432828
24 0.683492 -0.506058
25 0.647995 -0.568361
26 0.611371 -0.621805
27 0.5759 -0.665752
28 0.543681 -0.701168
29 0.516682 -0.727567
30 0.496548 -0.745406
31 0.483967 -0.756238
32 0.479461 -0.76036
33 0.483967 -0.756238
34 0.496548 -0.745406
35 0.516682 -0.727567
36 0.543681 -0.701168
37 0.5759 -0.665752
38 0.611371 -0.621805
39 0.647995 -0.568361
40 0.683492 -0.506058
41 0.714756 -0.432828
42 0.739277 -0.351738
43 0.753841 -0.263791
44 0.756548 -0.170143
45 0.74606 -0.0744925
46 0.717934 0.0238176
47 0.673993 0.118894
48 0.615609 0.207083
49 0.538018 0.288358
50 0.449138 0.35733
51 0.350777 0.412922
52 0.239328 0.455335
53 0.125404 0.482489
54 0.00876825 0.495721
55 -0.105598 0.495913
56 -0.211958 0.485815
57 -0.31723 0.46578
58 -0.409143 0.440779
59 -0.488965 0.413298
60 -0.552653 0.387505
61 -0.605058 0.363782
62 -0.646959 0.343233
63 -0.67012 0.331172
